max_depth,min_samples_split,min_samples_leaf,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
7,50,10,0.4933510638297872,0.48911465892597966,0.46511627906976744,0.4737631184407796,0.4831804281345566,0.4809051096801741,0.010273955017325451,106,0.6317639350891113,0.09080411542033354,0.049325418472290036,0.007611812255436694
10,2,5,0.47638603696098564,0.4958563535911602,0.4836692147324531,0.4889206576125804,0.456973293768546,0.4803611113331451,0.013319933482897383,107,1.0709772109985352,0.2076859765111467,0.06413664817810058,0.009134142668183132
10,5,5,0.47638603696098564,0.4958563535911602,0.4836692147324531,0.4889206576125804,0.456973293768546,0.4803611113331451,0.013319933482897383,107,0.8800762176513672,0.28401606326637346,0.05623717308044433,0.00945270490225323
10,10,5,0.47638603696098564,0.4958563535911602,0.4836692147324531,0.4889206576125804,0.456973293768546,0.4803611113331451,0.013319933482897383,107,1.044950246810913,0.44212553816075634,0.07329826354980469,0.014945935504950885
20,2,5,0.4682230869001297,0.4706649282920469,0.480946123521682,0.49163449163449163,0.48897290485192185,0.4800883070400544,0.009408186032183729,110,2.0323013782501222,0.36956795386899594,0.06100497245788574,0.02175587618901585
20,5,5,0.4682230869001297,0.4706649282920469,0.480946123521682,0.49163449163449163,0.48897290485192185,0.4800883070400544,0.009408186032183729,110,2.600805425643921,0.7917787543761208,0.05459451675415039,0.019702203984062052
20,10,5,0.4682230869001297,0.4706649282920469,0.480946123521682,0.49163449163449163,0.48897290485192185,0.4800883070400544,0.009408186032183729,110,2.660795211791992,0.7577030277874874,0.07597694396972657,0.03356760540566998
10,100,20,0.4704225352112676,0.4971671388101983,0.4470588235294118,0.5067043048694425,0.47668393782383417,0.4796073480488309,0.020951872866724848,113,0.7714599609375,0.2422082289683293,0.05458908081054688,0.016559813699675532
15,2,2,0.48184818481848185,0.47246184472461844,0.4539792387543253,0.5013192612137203,0.48468708388814913,0.478859122679859,0.015538926839770897,114,1.9593579292297363,0.5991983865532768,0.07973260879516601,0.03968980367783984
,2,5,0.4726810673443456,0.4707395498392283,0.4769928710304601,0.4842646114322415,0.48743718592964824,0.47842305711518474,0.0064719461979825255,115,2.7792468547821043,0.7141066202475891,0.0824244499206543,0.038760530912017865
,5,5,0.4726810673443456,0.4707395498392283,0.4769928710304601,0.4842646114322415,0.48743718592964824,0.47842305711518474,0.0064719461979825255,115,2.4319982051849367,0.7924311047531317,0.04271364212036133,0.011294434471595918
,10,5,0.4726810673443456,0.4707395498392283,0.4769928710304601,0.4842646114322415,0.48743718592964824,0.47842305711518474,0.0064719461979825255,115,3.1253886222839355,0.9471147685936865,0.08220229148864747,0.029534878138772733
20,10,1,0.4866581956797967,0.47351627313337585,0.4678362573099415,0.47942521227955587,0.4845758354755784,0.47840235477564963,0.006968977255380976,118,2.9398059844970703,0.6407741721067104,0.059426403045654295,0.015579431068876472
7,50,2,0.49765258215962443,0.48559077809798273,0.449669360764144,0.4788104089219331,0.48006134969325154,0.47835689592738717,0.015816055569259465,119,0.5843212604522705,0.21551911570288382,0.05554852485656738,0.015571198547629625
7,50,1,0.49865951742627346,0.48559077809798273,0.4485294117647059,0.4788104089219331,0.48006134969325154,0.47833029318082937,0.016476113623094927,120,0.4878044605255127,0.08639985341110534,0.05140442848205566,0.011391135318163404
7,2,10,0.4795164539959704,0.4960346070656092,0.45937961595273263,0.4718934911242604,0.48448145344436033,0.4782611243165866,0.012273737382377692,121,0.5171856880187988,0.08956714921182345,0.06521496772766114,0.011290631333631862
7,5,10,0.4795164539959704,0.4960346070656092,0.45937961595273263,0.4718934911242604,0.48448145344436033,0.4782611243165866,0.012273737382377692,121,0.5087898731231689,0.10299837883231529,0.05350818634033203,0.016879491021112157
